109	00001010	10	0000000
55	00101000	40	00000010
55	01010110	86	00000011
55	10100010	162	00000100
55	11001101	205	00000101
111	00010000	16	0000011
56	11010100	212	00001000
56	00110000	48	00001001
56	01110101	117	00001010
56	11100110	230	00001011
56	10011110	158	00001100
57	01111011	123	00001101
114	11111110	254	0000111
57	01000010	66	00010000
57	10100011	163	00010001
57	01010101	85	00010010
57	01100100	100	00010011
57	01100110	102	00010100
57	11010000	208	00010101
58	10000100	132	00010110
58	01011101	93	00010111
59	10010000	144	00011000
59	11001110	206	00011001
59	01110010	114	00011010
59	01010111	87	00011011
59	10110010	178	00011100
60	00011010	26	00011101
120	00010101	21	0001111
60	11001100	204	00100000
60	10011000	152	00100001
60	01011001	89	00100010
61	10101000	168	00100011
61	10101100	172	00100100
61	11000011	195	00100101
123	01001001	73	0010011
62	11100100	228	00101000
62	11110101	245	00101001
62	01001111	79	00101010
62	01101010	106	00101011
62	10110100	180	00101100
62	00011100	28	00101101
62	10000011	131	00101110
62	00111110	62	00101111
62	10111001	185	00110000
62	11000101	197	00110001
63	00101101	45	00110010
63	00100011	35	00110011
63	00111010	58	00110100
64	10010110	150	00110101
64	01110000	112	00110110
64	01101011	107	00110111
129	00000101	5	0011100
64	01010000	80	00111010
65	01000101	69	00111011
65	00001100	12	00111100
65	01000111	71	00111101
65	10001101	141	00111110
65	10111011	187	00111111
65	11010011	211	01000000
65	01010010	82	01000001
65	11110110	246	01000010
66	11000110	198	01000011
66	11011100	220	01000100
66	00010100	20	01000101
66	00001101	13	01000110
66	10011100	156	01000111
67	11110011	243	01001000
67	01101001	105	01001001
67	11101110	238	01001010
67	01011011	91	01001011
67	11101001	233	01001100
67	01010011	83	01001101
67	01101101	109	01001110
67	00011110	30	01001111
67	11111001	249	01010000
68	11010001	209	01010001
68	10111101	189	01010010
68	01100011	99	01010011
68	01011100	92	01010100
68	10011010	154	01010101
68	00001000	8	01010110
68	10101011	171	01010111
551	00000000	0	01011
137	00100100	36	0110000
69	01111101	125	01100010
69	11101000	232	01100011
69	01110001	113	01100100
69	10110011	179	01100101
69	00001001	9	01100110
69	00110011	51	01100111
69	10000111	135	01101000
70	11100011	227	01101001
70	10001011	139	01101010
70	01101100	108	01101011
70	10100000	160	01101100
70	00010011	19	01101101
70	00101011	43	01101110
70	11101011	235	01101111
70	00101111	47	01110000
70	01111001	121	01110001
70	01011110	94	01110010
71	01001101	77	01110011
71	00110111	55	01110100
71	10110101	181	01110101
71	00100111	39	01110110
71	00001011	11	01110111
71	10001111	143	01111000
71	10110000	176	01111001
143	11111111	255	0111101
72	00111101	61	01111100
72	00100110	38	01111101
72	11000111	199	01111110
72	10110111	183	01111111
72	11011010	218	10000000
73	11110001	241	10000001
73	01110100	116	10000010
73	10100110	166	10000011
146	01000000	64	1000010
73	11001001	201	10000110
73	00010110	22	10000111
73	11011001	217	10001000
73	11001011	203	10001001
73	10011001	153	10001010
73	00000110	6	10001011
73	11010010	210	10001100
73	11000100	196	10001101
